6,Positions,Positions,Positions,Positions,Positions,Positions,Positions,Positions,Positions,Positions,Positions,Positions,Positions,Positions,,,,,,,,
7,Time,Position,Symbol,Type,Volume,Price,S / L,T / P,Time,Price,Commission,Swap,Profit,Profit,,,,,,,,
96,2024.10.07 12:00:00,282778038,US30,sell,505003,505003,505003,505003,505003,505003,505003,505003,0.01,42176.20,42401.15,41881.42,2024.10.07 21:47:00,41881.42,-0.02,0.0,29.48,29.48
97,2024.10.07 19:00:00,283043100,DAX40,buy,69023,69023,69023,69023,69023,69023,69023,69023,0.01,19094.20,18766.33,19333.0,2024.10.09 01:05:00,19097.8,-0.02,-0.22,0.4,0.4
98,2024.10.07 20:00:00,283062933,US30,buy,505028,505028,505028,505028,505028,505028,505028,505028,0.01,42121.90,41899.34,42620.42,2024.10.07 21:30:17,41898.9,-0.02,0.0,-22.3,-22.3
99,2024.10.07 20:00:00,283062997,SP500,buy,69038,69038,69038,69038,69038,69038,69038,69038,0.01,5726.94,5640.15,5816.49,2024.10.08 20:00:00,5739.09,-0.02,-0.04,1.22,1.22
100,2024.10.08 04:00:00,283139918,US30,sell,505007,505007,505007,505007,505007,505007,505007,505007,0.01,41969.30,42148.00,41704.19,2024.10.08 08:00:00,41937.1,-0.02,0.0,3.22,3.22
101,2024.10.08 04:00:00,283139952,US30,buy,505011,505011,505011,505011,505011,505011,505011,505011,0.01,41973.20,41754.88,42381.9,2024.10.08 08:00:00,41933.5,-0.02,0.0,-3.97,-3.97
102,2024.10.08 04:00:00,283139971,US30,buy,505018,505018,505018,505018,505018,505018,505018,505018,0.01,41973.20,41741.12,42403.1,2024.10.08 16:00:00,42011.65,-0.02,0.0,3.85,3.85
103,2024.10.08 04:00:01,283139983,US30,sell,505027,505027,505027,505027,505027,505027,505027,505027,0.01,41969.30,42193.74,41656.66,2024.10.08 08:00:00,41937.1,-0.02,0.0,3.22,3.22
104,2024.10.08 08:00:00,283205799,US30,sell,505065,505065,505065,505065,505065,505065,505065,505065,0.01,41933.50,42180.63,41653.73,2024.10.08 20:00:01,42016.1,-0.02,0.0,-8.26,-8.26
105,2024.10.08 16:00:00,283447975,US30,buy,505035,505035,505035,505035,505035,505035,505035,505035,0.01,42015.65,41826.85,42257.27,2024.10.08 20:00:00,42016.1,-0.02,0.0,0.05,0.05
106,2024.10.08 20:00:00,283627004,US30,sell,505011,505011,505011,505011,505011,505011,505011,505011,0.01,42016.60,42234.02,41607.0,2024.10.09 16:46:00,42234.6,-0.02,-0.25,-21.8,-21.8
107,2024.10.08 20:00:00,283627060,US30,sell,505035,505035,505035,505035,505035,505035,505035,505035,0.01,42013.10,42204.90,41774.48,2024.10.09 12:00:00,41986.9,-0.02,-0.25,2.62,2.62
108,2024.10.08 20:00:00,283627063,SP500,buy,69038,69038,69038,69038,69038,69038,69038,69038,0.01,5739.54,5652.75,5829.09,2024.10.14 16:01:38,5829.09,-0.02,-0.52,8.96,8.96
109,2024.10.09 04:00:00,283692846,US30,sell,505057,505057,505057,505057,505057,505057,505057,505057,0.01,42048.80,42194.25,41665.3,2024.10.09 16:41:46,42195.6,-0.02,0.0,-14.68,-14.68
110,2024.10.09 04:00:00,283693022,US30,buy,505064,505064,505064,505064,505064,505064,505064,505064,0.01,42052.00,41887.72,42265.88,2024.10.09 17:08:24,42265.88,-0.02,0.0,21.39,21.39
111,2024.10.09 16:00:01,283952527,US30,sell,505018,505018,505018,505018,505018,505018,505018,505018,0.01,42067.55,42299.23,41637.25,2024.10.09 17:10:19,42299.6,-0.02,0.0,-23.21,-23.21
112,2024.10.09 18:00:02,284063553,DAX40,sell,69040,69040,69040,69040,69040,69040,69040,69040,0.01,19225.70,19526.38,18956.39,2024.10.10 10:00:00,19228.9,-0.02,-0.11,-0.35,-0.35
113,2024.10.09 20:00:00,284116872,SP500,buy,69007,69007,69007,69007,69007,69007,69007,69007,0.01,5779.84,5701.29,5894.03,2024.10.31 22:59:57,5701.28,-0.02,-1.72,-7.86,-7.86
114,2024.10.09 20:00:00,284116873,US30,buy,505027,505027,505027,505027,505027,505027,505027,505027,0.01,42425.65,42201.61,42738.69,2024.10.10 04:00:02,42530.0,-0.02,-0.25,10.44,10.44
115,2024.10.09 20:00:00,284116917,US30,buy,505035,505035,505035,505035,505035,505035,505035,505035,0.01,42426.15,42236.85,42667.27,2024.10.10 04:00:02,42530.5,-0.02,-0.25,10.44,10.44
